评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
202076,9575,贾珂,2024-11-09 04:44:18,6,15,9,只能说当他的学生应该很惨吧，谜语人，什么都要学生自己猜，平时事儿还多（又是签到又是论文），小测题也不公开，活活被斩杀。。
202089,9575,贾珂,2024-11-09 07:31:50,2,8,6,看脑与认知看破防了来骂一下，作为医学院新开的一门课，课程内容纯纯缝合怪毫无营养就先不说了，一是没有任何往届资料供给参考，二是老师也不告知题型都有哪些，三也没有考试重点和范围，我请问这考集贸呢[开心]现在除了看ppt什么都做不了，小测题也不开放让我们去看一下，你这个课有什么意义啊[开心]
202093,9575,贾珂,2024-11-09 08:32:59,4,8,4,上课内容不知所云，完全找不到重点，考核方式、考试内容、小测题目、文献阅读一概没有清晰的解释，史中史的课
202106,9575,贾珂,2024-11-18 06:12:17,2,11,9,虽然ppt做的不怎么样，但起码给分还挺好的。。。
202111,9575,贾珂,2024-11-09 13:46:02,2,11,9,考完来的，如果这是一门通识课，贾老师真的做到了互动多多，把艰深的概念讲到了浅显易懂，而且学到了许多有意思的知识（确实很佩服不念ppt，背对着屏幕滔滔不绝的老师），但是这门nyrz是***专业课啊喂！教材没有，有的是面对未知的恐惧。。。
202130,9575,贾珂,2024-11-10 03:16:30,-4,10,14,上课的内容有趣，很有收获，绝对是个好老师
202184,9575,贾珂,2024-11-10 12:40:21,-2,10,12,认真负责的好老师，讲的内容很生动有趣
202558,9575,贾珂,2024-11-13 06:31:28,8,14,6,绝非优美课程，ppt更适合用来做讲座而不是复习。
203124,9575,贾珂,2024-11-17 05:38:42,12,24,12,毫无公平可言的一门课
203140,9575,贾珂,2024-11-17 09:36:23,9,14,5,人形激光笔
203187,9575,贾珂,2024-11-17 23:20:57,5,14,9,出分之后又来了一次 发现自己写的不短的好评被踩烂了… 我是外专业的学生 选了这个课作为跨专业 整体感觉还可以 可能因为作为一门两分的短学期的专业课 课程要求确实比较多 小测5-6次 一个期末论文 +一次点名 还有专门的期末考试，要想吃透知识点确实要在课后花点时间。但是个人感觉贾老师真的已经很认真负责了，很多复杂的心理学概念在课堂上就已经讲得比较清楚，只需要适当复习，理解记忆就可以。可能因为这门课对于大二阶段的临床uu（课程的主要面向对象）来说负担比较重… 所以评论呈现出很多的负面评价吧 更多的是课程设置的问题 但是老师很真诚 也真的很用心了… 以上个人观点 杠就你对
203200,9575,贾珂,2024-11-18 02:17:56,9,16,7,欺软怕硬呗，被骂了就无差别给分了，呵呵
203205,9575,贾珂,2024-11-18 03:38:43,3,11,8,我觉得老师还是很好很负责的，有在用心备课，也希望让课程活跃起来，课下也补充了PPT，并且课件里也有很多帮助大家理解的小实验（不过复习是真的很痛苦！！）只是课程设置比较奇葩而已，而且没有历年卷很破防，简单来说，老师是个好老师， 可惜遇上了医学院的课程设置
203238,9575,贾珂,2024-11-18 09:15:29,4,12,8,老师人挺好的，钉钉上回复的也很快，给分也不错，楼下那个说欺软怕硬的不知道是什么心态
203256,9575,贾珂,2024-11-18 12:30:10,2,12,10,好老师，可以说是医学院数一数二负责任的老师了，有些人怨气不要太重了，平时当通识课上，上课不听，期末补天补不完就怪老师吗？课程内容确实有些奇怪，但是课程组已经尽可能地方便我们复习了，你说听同学反馈意见把所有课程要点重新补充在PPT备注里，这样的老师能有几个？而且有同学反馈想要小测答案，老师也在课上讲了，考试内容和题型也在课上讲了，思维导图也发了，有些同学是平时根本没听到关键信息吧？个人认为课程组的资料提供与内容比冬学期的医学微生物学好多了，只不过第一次开这门课没有学长整理的资料导致有些人复习不完破防了罢了。
203336,9575,贾珂,2024-11-19 08:17:55,17,21,4,脑与认知课程确实极度抽象，但是有些人一直揪着签到和小测不放多少有点过分。签到整个学期就一次，助教在群里提醒了两次，下课后又补了一次，这要是还签不上能怪助教吗？（而且本人发烧在寝室上网课，跟助教说明情况以后连证明都没要求就给补了，还想怎样？）然后是小测，每次小测就10道判断和选择，每道题字数大部分甚至不超过20个字，而且助教和老师实际上都没有监考，默认允许翻PPT、用AI，有人讨论也没管，本人上课听不进去，小测基本全靠搜题和AI也有28分（总分30）；这还想怎样？一定要把30分全部什么都不做直接送给你可还行？
203693,9575,贾珂,2024-11-20 13:31:59,7,8,1,再烂也比史鹏和宋瑞生好，那两个老被他
218468,9575,贾珂,2025-04-24 02:25:50,5,5,0,神经、精神和运动系统出分后我又来了\n\n贾珂是真神\n\n在哪里还能找到期末考只占30%，而且题目比较简单，复习了都能做的医学院课程啊\n\n小论文也是努力捞了\n\n小测时间充裕还开卷，老师和助教也不会管，题目还是大家一样的！等于可以讨论！\n\n隔壁神经、精神和运动真的是烂完了，没法喷\n\n相比而言脑与认知真的是好课\n\n医学生们！你们的福气还在后头！珍惜贾珂吧！😋
175352,9684,杨雨潇,2023-06-24 06:48:35,12,12,0,讲课深入透彻，喜欢在黑板上手撕各种公式\n\n是能在授课范围内把《人工智能与机器学习》给你讲懂的\n\n比另外两位授课老师水平好上太多\n\n关键是还年轻啊！\n\n潇哥我的神\n\n\n\n非计算机专业可以试试
176044,9684,杨雨潇,2023-06-27 13:25:50,2,2,0,潇哥我的神。\n\n我爱死他了啊啊啊！
176045,9684,杨雨潇,2023-06-27 13:26:39,2,2,0,潇哥我的神！！\n\n爱死他啦！！
176331,9684,杨雨潇,2023-06-28 12:03:38,2,2,0,爱你潇哥 请捞捞我
196081,9684,杨雨潇,2024-07-01 12:38:46,5,5,0,杨老师可以真的教会非计算机和数学专业的同学机器学习的知识，讲的十分透彻，会让你对其产生浓厚兴趣的！
203609,9684,杨雨潇,2024-11-20 07:02:57,0,0,0,对计算机一窍不通，但是老师讲完课之后对机器学习有了极大兴趣
207099,9684,杨雨潇,2024-12-19 08:34:28,0,0,0,很厉害，很有水平，喜欢他的语速
209548,9684,杨雨潇,2025-01-06 08:37:23,0,0,0,老师是很好很好的老师，讲课超级清晰
217053,9684,杨雨潇,2025-04-01 02:56:12,0,0,0,讲课深入浅出，真的特别好！很容易理解
217253,9684,杨雨潇,2025-04-06 18:05:53,1,1,0,真的是一个思路很清晰也很擅长讲课的老师🥹🥹
220812,9684,杨雨潇,2025-06-20 02:31:04,0,0,0,爱你潇哥 请捞捞我
205642,9931,王蓉,2024-12-10 11:31:19,0,0,0,分少事情多，留学腔调。
168054,10055,吕想,2023-01-24 16:52:40,2,2,0,美女老师！族群社会学挂在菅志翔老师名下，上课有点小紧张。不过授课内容很丰富，认真听讲可以学到很多，族群研究相关的知识广泛涉猎。给分还不错，分数构成是课堂参与度（到课和发言）20%，小作业（主题3选1，页数2-4页）30%，研究计划书（5000左右）50%。
168222,10055,吕想,2023-02-03 11:23:31,2,2,0,老师人很好很温柔，上课注重互动，给分也很不错
213083,10055,吕想,2025-01-16 03:10:23,2,2,0,老师很温柔，上课的东西挺有意思的，内容不水也不硬，特别好的是老师在正式上课前就布置了作业，等到考试周快结束了才截至，有比较多的时间去完成，不会太影响期末，但是后来期末太忙了上课都没好好听，有点可惜。
167055,10118,王波,2023-01-15 04:53:49,4,4,0,评价大物实验的王波，讲课烂，给分更烂，傻逼
173993,10118,王波,2023-06-05 13:22:20,0,0,0,大物实验，讲得烂而且上课态度也是挺散漫的，给分也是很差，别选
